GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-03-07,21900942,Final,1610612739,1610612743,2019,1610612739,104.0,"0,55","0,67","0,43",32.0,39.0,1610612743,102.0,"0,506","0,375","0,406",28.0,33.0,1
2020-03-07,21900943,Final,1610612763,1610612737,2019,1610612763,118.0,"0,49","0,61","0,36",27.0,58.0,1610612737,101.0,"0,337","0,857","0,265",23.0,46.0,1
2020-03-07,21900944,Final,1610612744,1610612755,2019,1610612744,118.0,"0,55","0,75","0,36",30.0,35.0,1610612755,114.0,"0,488","0,864","0,382",29.0,41.0,1
2020-03-07,21900945,Final,1610612757,1610612758,2019,1610612757,111.0,"0,47","0,65","0,26",22.0,41.0,1610612758,123.0,"0,482","0,87","0,538",30.0,47.0,0
2020-03-06,21900930,Final,1610612764,1610612737,2019,1610612764,118.0,"0,47","0,89","0,48",24.0,38.0,1610612737,112.0,"0,535","0,667","0,375",25.0,36.0,1
2020-03-06,21900931,Final,1610612751,1610612759,2019,1610612751,139.0,"0,53","0,71","0,42",32.0,52.0,1610612759,120.0,"0,467","0,889","0,294",25.0,38.0,1
2020-03-06,21900932,Final,1610612752,1610612760,2019,1610612752,103.0,"0,45","0,77","0,17",19.0,48.0,1610612760,126.0,"0,49","0,8","0,387",26.0,38.0,0
2020-03-06,21900933,Final,1610612738,1610612762,2019,1610612738,94.0,"0,37","0,78","0,28",19.0,45.0,1610612762,99.0,"0,45","0,833","0,378",23.0,40.0,0
2020-03-06,21900934,Final,1610612741,1610612754,2019,1610612741,102.0,"0,41","0,87","0,24",27.0,45.0,1610612754,108.0,"0,507","0,727","0,364",24.0,46.0,0
2020-03-06,21900935,Final,1610612750,1610612753,2019,1610612750,118.0,"0,47","0,80","0,27",30.0,36.0,1610612753,132.0,"0,607","0,742","0,333",31.0,45.0,0
2020-03-06,21900936,Final,1610612740,1610612748,2019,1610612740,110.0,"0,42","0,71","0,37",28.0,53.0,1610612748,104.0,"0,43","0,677","0,273",27.0,45.0,1
2020-03-06,21900937,Final,1610612742,1610612763,2019,1610612742,121.0,"0,47","0,77","0,38",30.0,48.0,1610612763,96.0,"0,464","0,692","0,3",29.0,47.0,1
2020-03-06,21900938,Final,1610612756,1610612757,2019,1610612756,127.0,"0,50","0,95","0,45",29.0,47.0,1610612757,117.0,"0,494","0,75","0,406",26.0,39.0,1
2020-03-06,21900939,Final,1610612747,1610612749,2019,1610612747,113.0,"0,42","0,82","0,19",19.0,52.0,1610612749,103.0,"0,416","0,739","0,279",22.0,45.0,1
2020-03-05,21900926,Final,1610612766,1610612743,2019,1610612766,112.0,"0,49","0,82","0,39",24.0,34.0,1610612743,114.0,"0,53","0,9","0,308",29.0,38.0,0
2020-03-05,21900927,Final,1610612745,1610612746,2019,1610612745,105.0,"0,36","0,78","0,17",19.0,51.0,1610612746,120.0,"0,464","0,744","0,325",22.0,57.0,0
2020-03-05,21900928,Final,1610612758,1610612755,2019,1610612758,108.0,"0,53","0,72","0,38",23.0,37.0,1610612755,125.0,"0,49","0,824","0,459",24.0,45.0,0
2020-03-05,21900929,Final,1610612744,1610612761,2019,1610612744,113.0,"0,41","0,76","0,27",34.0,52.0,1610612761,121.0,"0,476","0,903","0,317",28.0,39.0,0
2020-03-04,21900917,Final,1610612739,1610612738,2019,1610612739,106.0,"0,44","0,75","0,34",24.0,50.0,1610612738,112.0,"0,465","0,808","0,367",16.0,49.0,0
2020-03-04,21900918,Final,1610612765,1610612760,2019,1610612765,107.0,"0,47","0,60","0,42",27.0,36.0,1610612760,114.0,"0,613","0,706","0,417",25.0,33.0,0
2020-03-04,21900924,Final,1610612749,1610612754,2019,1610612749,119.0,"0,46","0,91","0,28",26.0,56.0,1610612754,100.0,"0,433","0,818","0,259",22.0,39.0,1
2020-03-04,21900919,Final,1610612748,1610612753,2019,1610612748,116.0,"0,52","0,80","0,50",31.0,36.0,1610612753,113.0,"0,524","0,857","0,433",28.0,35.0,1
2020-03-04,21900920,Final,1610612751,1610612763,2019,1610612751,79.0,"0,33","0,71","0,17",15.0,42.0,1610612763,118.0,"0,43","0,857","0,455",21.0,59.0,0
2020-03-04,21900921,Final,1610612752,1610612762,2019,1610612752,104.0,"0,48","0,83","0,35",23.0,42.0,1610612762,112.0,"0,506","0,8","0,278",26.0,37.0,0
2020-03-04,21900922,Final,1610612750,1610612741,2019,1610612750,115.0,"0,49","0,64","0,44",27.0,43.0,1610612741,108.0,"0,479","0,636","0,367",24.0,40.0,1
2020-03-04,21900923,Final,1610612742,1610612740,2019,1610612742,127.0,"0,46","0,71","0,44",30.0,49.0,1610612740,123.0,"0,439","0,545","0,37",28.0,52.0,1
2020-03-04,21900925,Final,1610612757,1610612764,2019,1610612757,125.0,"0,52","0,88","0,42",24.0,47.0,1610612764,104.0,"0,388","0,619","0,314",27.0,48.0,1
2020-03-03,21900909,Final,1610612766,1610612759,2019,1610612766,103.0,"0,48","0,72","0,41",25.0,46.0,1610612759,104.0,"0,475","0,85","0,344",25.0,33.0,0
2020-03-03,21900910,Final,1610612738,1610612751,2019,1610612738,120.0,"0,43","0,74","0,31",24.0,42.0,1610612751,129.0,"0,43","0,763","0,286",22.0,63.0,0
2020-03-03,21900911,Final,1610612740,1610612750,2019,1610612740,134.0,"0,52","0,59","0,36",37.0,44.0,1610612750,139.0,"0,557","0,85","0,412",31.0,42.0,0
2020-03-03,21900912,Final,1610612760,1610612746,2019,1610612760,94.0,"0,42","0,65","0,32",16.0,43.0,1610612746,109.0,"0,452","0,846","0,306",19.0,41.0,0
2020-03-03,21900913,Final,1610612743,1610612744,2019,1610612743,100.0,"0,45","0,73","0,15",22.0,53.0,1610612744,116.0,"0,512","0,636","0,439",31.0,35.0,0
2020-03-03,21900914,Final,1610612756,1610612761,2019,1610612756,114.0,"0,46","0,84","0,39",30.0,35.0,1610612761,123.0,"0,465","0,829","0,412",17.0,47.0,0
2020-03-03,21900915,Final,1610612747,1610612755,2019,1610612747,120.0,"0,54","0,83","0,39",25.0,43.0,1610612755,107.0,"0,447","0,75","0,4",24.0,42.0,1
2020-03-03,21900916,Final,1610612758,1610612764,2019,1610612758,133.0,"0,56","0,83","0,45",23.0,42.0,1610612764,126.0,"0,513","0,824","0,421",28.0,31.0,1
2020-03-02,21900902,Final,1610612739,1610612762,2019,1610612739,113.0,"0,46","0,67","0,42",28.0,36.0,1610612762,126.0,"0,566","0,857","0,488",30.0,47.0,0
2020-03-02,21900903,Final,1610612752,1610612745,2019,1610612752,125.0,"0,49","0,63","0,40",26.0,65.0,1610612745,123.0,"0,415","0,926","0,357",25.0,34.0,1
2020-03-02,21900904,Final,1610612753,1610612757,2019,1610612753,107.0,"0,39","0,86","0,33",29.0,39.0,1610612757,130.0,"0,557",1,"0,485",27.0,49.0,0
2020-03-02,21900905,Final,1610612737,1610612763,2019,1610612737,88.0,"0,32","0,94","0,26",20.0,43.0,1610612763,127.0,"0,5","0,677","0,438",30.0,60.0,0
2020-03-02,21900906,Final,1610612748,1610612749,2019,1610612748,105.0,"0,43","0,72","0,49",28.0,46.0,1610612749,89.0,"0,407","0,632","0,206",19.0,48.0,1
2020-03-02,21900907,Final,1610612741,1610612742,2019,1610612741,109.0,"0,47","0,65","0,28",24.0,42.0,1610612742,107.0,"0,476","0,75","0,286",26.0,44.0,1
2020-03-02,21900908,Final,1610612759,1610612754,2019,1610612759,111.0,"0,52","0,79","0,50",21.0,33.0,1610612754,116.0,"0,5","0,885","0,484",22.0,40.0,0
2020-03-01,21900895,Final,1610612766,1610612749,2019,1610612766,85.0,"0,35","0,90","0,23",22.0,47.0,1610612749,93.0,"0,402","0,762","0,226",20.0,61.0,0
2020-03-01,21900896,Final,1610612750,1610612742,2019,1610612750,91.0,"0,36","0,40","0,31",19.0,57.0,1610612742,111.0,"0,468","0,632","0,275",28.0,56.0,0
2020-03-01,21900897,Final,1610612746,1610612755,2019,1610612746,136.0,"0,59","0,81","0,54",25.0,37.0,1610612755,130.0,"0,505","0,65","0,488",27.0,37.0,1
2020-03-01,21900898,Final,1610612743,1610612761,2019,1610612743,133.0,"0,57","0,70","0,50",38.0,41.0,1610612761,118.0,"0,461","0,897","0,263",24.0,36.0,1
2020-03-01,21900899,Final,1610612758,1610612765,2019,1610612758,106.0,"0,41","0,89","0,26",18.0,51.0,1610612765,100.0,"0,413","0,667","0,429",23.0,42.0,1
2020-03-01,21900900,Final,1610612740,1610612747,2019,1610612740,114.0,"0,42","0,82","0,22",24.0,52.0,1610612747,122.0,"0,515","0,9","0,371",23.0,36.0,0
2020-03-01,21900901,Final,1610612744,1610612764,2019,1610612744,110.0,"0,47","0,71","0,32",25.0,52.0,1610612764,124.0,"0,488","0,889","0,667",24.0,34.0,0
2020-02-29,21900887,Final,1610612752,1610612741,2019,1610612752,125.0,"0,55","0,70","0,40",29.0,50.0,1610612741,115.0,"0,461","0,696","0,486",26.0,33.0,1
2020-02-29,21900888,Final,1610612737,1610612757,2019,1610612737,129.0,"0,55","0,86","0,43",34.0,36.0,1610612757,117.0,"0,5","0,714","0,286",14.0,42.0,1
2020-02-29,21900889,Final,1610612748,1610612751,2019,1610612748,116.0,"0,45","0,83","0,37",27.0,45.0,1610612751,113.0,"0,465","0,739","0,364",30.0,44.0,1
2020-02-29,21900890,Final,1610612739,1610612754,2019,1610612739,104.0,"0,48","0,85","0,23",30.0,36.0,1610612754,113.0,"0,54","0,786","0,348",30.0,38.0,0
2020-02-29,21900891,Final,1610612763,1610612747,2019,1610612763,105.0,"0,45","0,82","0,32",27.0,51.0,1610612747,88.0,"0,409","0,583","0,25",26.0,45.0,1
2020-02-29,21900892,Final,1610612738,1610612745,2019,1610612738,110.0,"0,39","0,76","0,31",22.0,54.0,1610612745,111.0,"0,418","0,778","0,273",17.0,53.0,0
2020-02-29,21900893,Final,1610612759,1610612753,2019,1610612759,114.0,"0,52","0,75","0,45",28.0,31.0,1610612753,113.0,"0,488","0,696","0,405",28.0,41.0,1
2020-02-29,21900894,Final,1610612756,1610612744,2019,1610612756,99.0,"0,41","0,83","0,41",24.0,40.0,1610612744,115.0,"0,471","0,75","0,3",30.0,49.0,0
2020-02-28,21900877,Final,1610612753,1610612750,2019,1610612753,136.0,"0,54","0,82","0,30",36.0,54.0,1610612750,125.0,"0,484","0,667","0,386",27.0,33.0,1
2020-02-28,21900878,Final,1610612737,1610612751,2019,1610612737,141.0,"0,52","0,73","0,49",32.0,52.0,1610612751,118.0,"0,457","0,762","0,391",30.0,38.0,1
2020-02-28,21900879,Final,1610612761,1610612766,2019,1610612761,96.0,"0,35","0,69","0,23",19.0,45.0,1610612766,99.0,"0,436","0,72","0,433",23.0,58.0,0
2020-02-28,21900880,Final,1610612748,1610612742,2019,1610612748,126.0,"0,52","0,75","0,49",30.0,40.0,1610612742,118.0,"0,476","0,895","0,42",25.0,35.0,1
2020-02-28,21900881,Final,1610612763,1610612758,2019,1610612763,101.0,"0,43","0,75","0,27",27.0,52.0,1610612758,104.0,"0,418","0,81","0,289",24.0,47.0,0
